geneId	seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	gene_name	gene_type
ENSMUSG00000103557.1	chr1	7979960	7980025	66	*	chr1:7979959-7980025	0	+	Distal Intergenic	1	7728861	7730565	1705	2	ENSMUST00000194872.1	-249395	Gm38216	processed_pseudogene
ENSMUSG00000103557.1	chr1	8033909	8033974	66	*	chr1:8033908-8033974	0	-	Distal Intergenic	1	7728861	7730565	1705	2	ENSMUST00000194872.1	-303344	Gm38216	processed_pseudogene
ENSMUSG00000102647.1	chr1	8155927	8155961	35	*	chr1:8155926-8155961	0	+	Distal Intergenic	1	8450960	8453491	2532	2	ENSMUST00000192338.1	297530	Gm38024	TEC
ENSMUSG00000102647.1	chr1	8156148	8156172	25	*	chr1:8156147-8156172	0	+	Distal Intergenic	1	8450960	8453491	2532	2	ENSMUST00000192338.1	297319	Gm38024	TEC
ENSMUSG00000086235.1	chr1	8471072	8471104	33	*	chr1:8471071-8471104	0	-	Promoter (2-3kb)	1	8468426	8468825	400	2	ENSMUST00000140995.1	-2247	Gm16284	processed_pseudogene
ENSMUSG00000102253.1	chr1	8515619	8515668	50	*	chr1:8515618-8515668	0	+	Intron (ENSMUST00000132064.7/ENSMUSG00000025909.16, intron 14 of 19)	1	8527780	8531313	3534	2	ENSMUST00000194602.1	15645	Gm38259	TEC
ENSMUSG00000084353.1	chr1	8794676	8794706	31	*	chr1:8794675-8794706	0	+	Promoter (2-3kb)	1	8791923	8792162	240	2	ENSMUST00000119877.1	-2514	Gm15452	processed_pseudogene
ENSMUSG00000066693.2	chr1	8939158	8939173	16	*	chr1:8939157-8939173	0	-	Intron (ENSMUST00000132064.7/ENSMUSG00000025909.16, intron 3 of 19)	1	8962996	8963621	626	2	ENSMUST00000085919.2	24448	Gm7493	processed_pseudogene
ENSMUSG00000066693.2	chr1	8969551	8969598	48	*	chr1:8969550-8969598	0	-	Intron (ENSMUST00000132064.7/ENSMUSG00000025909.16, intron 3 of 19)	1	8962996	8963621	626	2	ENSMUST00000085919.2	-5930	Gm7493	processed_pseudogene
ENSMUSG00000066693.2	chr1	8982989	8983034	46	*	chr1:8982988-8983034	0	-	Intron (ENSMUST00000132064.7/ENSMUSG00000025909.16, intron 3 of 19)	1	8962996	8963621	626	2	ENSMUST00000085919.2	-19368	Gm7493	processed_pseudogene
ENSMUSG00000066693.2	chr1	8999528	8999557	30	*	chr1:8999527-8999557	0	+	Intron (ENSMUST00000132064.7/ENSMUSG00000025909.16, intron 2 of 19)	1	8962996	8963621	626	2	ENSMUST00000085919.2	-35907	Gm7493	processed_pseudogene
ENSMUSG00000102316.1	chr1	9200366	9200393	28	*	chr1:9200365-9200393	0	+	Intron (ENSMUST00000132064.7/ENSMUSG00000025909.16, intron 2 of 19)	1	9191067	9192116	1050	2	ENSMUST00000193635.1	-8250	Gm37629	TEC
ENSMUSG00000103819.1	chr1	9264337	9264356	20	*	chr1:9264336-9264356	0	-	Intron (ENSMUST00000132064.7/ENSMUSG00000025909.16, intron 1 of 19)	1	9258617	9259134	518	2	ENSMUST00000195333.1	-5203	Gm38008	processed_pseudogene
ENSMUSG00000025909.16	chr1	9299268	9299293	26	*	chr1:9299267-9299293	0	+	Promoter (<=1kb)	1	8361475	9299238	937764	2	ENSMUST00000140295.7	-30	Sntg1	protein_coding
ENSMUSG00000025909.16	chr1	9314108	9314132	25	*	chr1:9314107-9314132	0	-	Distal Intergenic	1	8361475	9299238	937764	2	ENSMUST00000140295.7	-14870	Sntg1	protein_coding
ENSMUSG00000101571.2	chr1	9414117	9414146	30	*	chr1:9414116-9414146	0	-	Distal Intergenic	1	9396773	9398687	1915	2	ENSMUST00000040649.6	-15430	Gm6187	processed_pseudogene
ENSMUSG00000099032.2	chr1	9967639	9967670	32	*	chr1:9967638-9967670	0	-	Promoter (<=1kb)	1	9960163	9967932	7770	2	ENSMUST00000185184.1	262	Tcf24	protein_coding
ENSMUSG00000081417.1	chr1	10674700	10674738	39	*	chr1:10674699-10674738	0	+	Intron (ENSMUST00000035577.6/ENSMUSG00000042501.12, intron 1 of 10)	1	10695123	10695614	492	1	ENSMUST00000119252.1	-20385	Gm15603	processed_pseudogene
ENSMUSG00000081417.1	chr1	10695488	10695511	24	*	chr1:10695487-10695511	0	-	Promoter (<=1kb)	1	10695123	10695614	492	1	ENSMUST00000119252.1	365	Gm15603	processed_pseudogene
ENSMUSG00000100648.1	chr1	10857883	10857908	26	*	chr1:10857882-10857908	0	-	Distal Intergenic	1	10868688	10869446	759	1	ENSMUST00000188013.1	-10780	Gm28659	processed_pseudogene
ENSMUSG00000057715.13	chr1	11414406	11414430	25	*	chr1:11414405-11414430	0	-	Promoter (<=1kb)	1	11414509	11975397	560889	1	ENSMUST00000137824.7	-79	A830018L16Rik	protein_coding
ENSMUSG00000103825.1	chr1	11438271	11438295	25	*	chr1:11438270-11438295	0	-	Intron (ENSMUST00000171690.8/ENSMUSG00000057715.13, intron 1 of 7)	1	11416918	11419388	2471	1	ENSMUST00000194502.1	21353	Gm38178	TEC
ENSMUSG00000103825.1	chr1	11487913	11487942	30	*	chr1:11487912-11487942	0	-	Intron (ENSMUST00000171690.8/ENSMUSG00000057715.13, intron 1 of 7)	1	11416918	11419388	2471	1	ENSMUST00000194502.1	70995	Gm38178	TEC
ENSMUSG00000103561.1	chr1	11709457	11709496	40	*	chr1:11709456-11709496	0	-	Intron (ENSMUST00000048613.13/ENSMUSG00000057715.13, intron 7 of 13)	1	11704207	11706350	2144	1	ENSMUST00000195360.1	5250	Gm38069	TEC
ENSMUSG00000101610.1	chr1	12189268	12189303	36	*	chr1:12189267-12189303	0	+	Distal Intergenic	1	12120960	12121832	873	1	ENSMUST00000187748.1	68308	Gm7560	processed_pseudogene
ENSMUSG00000101610.1	chr1	12198677	12198753	77	*	chr1:12198676-12198753	0	-	Distal Intergenic	1	12120960	12121832	873	1	ENSMUST00000187748.1	77717	Gm7560	processed_pseudogene
ENSMUSG00000093864.1	chr1	12303749	12303772	24	*	chr1:12303748-12303772	0	+	Distal Intergenic	1	12374936	12375042	107	1	ENSMUST00000179834.1	-71164	Gm22633	snRNA
ENSMUSG00000093864.1	chr1	12344871	12344895	25	*	chr1:12344870-12344895	0	+	Distal Intergenic	1	12374936	12375042	107	1	ENSMUST00000179834.1	-30041	Gm22633	snRNA
ENSMUSG00000098555.1	chr1	12411049	12411102	54	*	chr1:12411048-12411102	0	+	Distal Intergenic	1	12425986	12426106	121	1	ENSMUST00000183490.1	-14884	Mir6341	miRNA
ENSMUSG00000097628.1	chr1	12516022	12516039	18	*	chr1:12516021-12516039	0	+	Distal Intergenic	1	12565577	12566383	807	1	ENSMUST00000181461.1	-49538	Gm2383	processed_pseudogene
ENSMUSG00000098163.1	chr1	12610875	12610910	36	*	chr1:12610874-12610910	0	-	Distal Intergenic	1	12655867	12656553	687	1	ENSMUST00000182390.1	-44957	Gm6216	processed_pseudogene
ENSMUSG00000016918.15	chr1	12690102	12690168	67	*	chr1:12690101-12690168	0	+	Promoter (2-3kb)	1	12692277	12861192	168916	1	ENSMUST00000177608.7	-2109	Sulf1	protein_coding
ENSMUSG00000016918.15	chr1	12774139	12774177	39	*	chr1:12774138-12774177	0	+	Intron (ENSMUST00000177608.7/ENSMUSG00000016918.15, intron 2 of 21)	1	12718529	12860377	141849	1	ENSMUST00000088585.9	55610	Sulf1	protein_coding
ENSMUSG00000016918.15	chr1	12842037	12842060	24	*	chr1:12842036-12842060	0	+	Intron (ENSMUST00000177608.7/ENSMUSG00000016918.15, intron 17 of 21)	1	12718529	12860377	141849	1	ENSMUST00000088585.9	123508	Sulf1	protein_coding
ENSMUSG00000095853.1	chr1	14216490	14216515	26	*	chr1:14216489-14216515	0	+	Intron (ENSMUST00000027066.12/ENSMUSG00000025932.14, intron 11 of 17)	1	14182578	14182677	100	1	ENSMUST00000179783.1	33912	Gm22616	miRNA
ENSMUSG00000025932.14	chr1	14467972	14467987	16	*	chr1:14467971-14467987	0	-	Distal Intergenic	1	14168958	14310235	141278	2	ENSMUST00000168081.8	-157737	Eya1	protein_coding
ENSMUSG00000025932.14	chr1	14506817	14506880	64	*	chr1:14506816-14506880	0	+	Distal Intergenic	1	14168958	14310235	141278	2	ENSMUST00000168081.8	-196582	Eya1	protein_coding
ENSMUSG00000054493.2	chr1	14704371	14704396	26	*	chr1:14704370-14704396	0	+	Distal Intergenic	1	14752937	14776931	23995	1	ENSMUST00000187401.1	-48541	Gm9947	antisense
ENSMUSG00000025930.6	chr1	14756095	14756120	26	*	chr1:14756094-14756120	0	+	Promoter (<=1kb)	1	14753346	14755990	2645	2	ENSMUST00000027062.6	-105	Msc	protein_coding
ENSMUSG00000082193.1	chr1	14854466	14854486	21	*	chr1:14854465-14854486	0	+	Distal Intergenic	1	14865072	14865965	894	1	ENSMUST00000121367.1	-10586	Rpl5-ps1	processed_pseudogene
ENSMUSG00000088159.1	chr1	15127464	15127486	23	*	chr1:15127463-15127486	0	-	Distal Intergenic	1	15019040	15019159	120	2	ENSMUST00000157534.1	-108305	Gm26345	snoRNA
ENSMUSG00000073737.3	chr1	15213388	15213420	33	*	chr1:15213387-15213420	0	+	Distal Intergenic	1	15268802	15269797	996	2	ENSMUST00000086739.5	56377	Gm10566	processed_pseudogene
ENSMUSG00000073737.3	chr1	15278120	15278149	30	*	chr1:15278119-15278149	0	+	Distal Intergenic	1	15268802	15269797	996	2	ENSMUST00000086739.5	-8323	Gm10566	processed_pseudogene
ENSMUSG00000102937.1	chr1	15345937	15345981	45	*	chr1:15345936-15345981	0	-	Intron (ENSMUST00000175681.2/ENSMUSG00000092083.4, intron 2 of 2)	1	15364302	15365834	1533	1	ENSMUST00000193873.1	-18321	Gm38116	TEC
ENSMUSG00000104149.1	chr1	15554821	15554845	25	*	chr1:15554820-15554845	0	+	Promoter (1-2kb)	1	15556249	15558337	2089	1	ENSMUST00000194564.1	-1404	Gm37138	TEC
ENSMUSG00000032719.4	chr1	15892323	15892351	29	*	chr1:15892322-15892351	0	+	Promoter (<=1kb)	1	15853862	15892722	38861	2	ENSMUST00000040695.4	371	Sbspon	protein_coding
ENSMUSG00000032719.4	chr1	15892415	15892436	22	*	chr1:15892414-15892436	0	-	Promoter (<=1kb)	1	15853862	15892722	38861	2	ENSMUST00000040695.4	286	Sbspon	protein_coding
ENSMUSG00000032719.4	chr1	15892731	15892753	23	*	chr1:15892730-15892753	0	-	Promoter (<=1kb)	1	15853862	15892722	38861	2	ENSMUST00000040695.4	-9	Sbspon	protein_coding
ENSMUSG00000032719.4	chr1	15892798	15892832	35	*	chr1:15892797-15892832	0	+	Promoter (<=1kb)	1	15853862	15892722	38861	2	ENSMUST00000040695.4	-76	Sbspon	protein_coding
ENSMUSG00000067795.13	chr1	16093044	16093072	29	*	chr1:16093043-16093072	0	+	Promoter (<=1kb)	1	16065979	16093325	27347	2	ENSMUST00000145070.7	253	4930444P10Rik	protein_coding
ENSMUSG00000089982.7	chr1	16277575	16277627	53	*	chr1:16277574-16277627	0	-	Intron (ENSMUST00000162751.7/ENSMUSG00000025920.19, intron 12 of 13)	1	16253592	16267921	14330	1	ENSMUST00000160446.7	23983	Gm7568	antisense
ENSMUSG00000089982.7	chr1	16291602	16291637	36	*	chr1:16291601-16291637	0	+	Intron (ENSMUST00000162751.7/ENSMUSG00000025920.19, intron 12 of 13)	1	16253592	16267921	14330	1	ENSMUST00000160446.7	38010	Gm7568	antisense
ENSMUSG00000089982.7	chr1	16291656	16291680	25	*	chr1:16291655-16291680	0	+	Intron (ENSMUST00000162751.7/ENSMUSG00000025920.19, intron 12 of 13)	1	16253592	16267921	14330	1	ENSMUST00000160446.7	38064	Gm7568	antisense
ENSMUSG00000089982.7	chr1	16385517	16385547	31	*	chr1:16385516-16385547	0	-	Intron (ENSMUST00000162751.7/ENSMUSG00000025920.19, intron 8 of 13)	1	16253592	16267921	14330	1	ENSMUST00000160446.7	131925	Gm7568	antisense
ENSMUSG00000025920.19	chr1	16503406	16503429	24	*	chr1:16503405-16503429	0	-	Intron (ENSMUST00000162751.7/ENSMUSG00000025920.19, intron 2 of 13)	1	16343407	16519211	175805	2	ENSMUST00000159558.7	15782	Stau2	protein_coding
ENSMUSG00000101640.1	chr1	16884461	16884485	25	*	chr1:16884460-16884485	0	-	Distal Intergenic	1	16898185	17091631	193447	1	ENSMUST00000186604.1	-13700	Gm28376	antisense
ENSMUSG00000042686.5	chr1	17097082	17097104	23	*	chr1:17097081-17097104	0	+	Promoter (<=1kb)	1	16994938	17097889	102952	2	ENSMUST00000038382.4	785	Jph1	protein_coding
ENSMUSG00000042686.5	chr1	17097911	17097937	27	*	chr1:17097910-17097937	0	-	Promoter (<=1kb)	1	16994938	17097889	102952	2	ENSMUST00000038382.4	-22	Jph1	protein_coding
ENSMUSG00000042686.5	chr1	17097967	17098006	40	*	chr1:17097966-17098006	0	-	Promoter (<=1kb)	1	16994938	17097889	102952	2	ENSMUST00000038382.4	-78	Jph1	protein_coding
ENSMUSG00000100053.1	chr1	17634198	17634228	31	*	chr1:17634197-17634228	0	+	Intron (ENSMUST00000186267.1/ENSMUSG00000100053.1, intron 2 of 3)	1	17615084	17641081	25998	2	ENSMUST00000186267.1	6853	Gm28154	antisense
ENSMUSG00000100554.1	chr1	17966426	17966491	66	*	chr1:17966425-17966491	0	+	Distal Intergenic	1	17947041	17948439	1399	1	ENSMUST00000190885.1	19385	Gm7690	processed_pseudogene
ENSMUSG00000099591.1	chr1	17994663	17994683	21	*	chr1:17994662-17994683	0	+	Promoter (<=1kb)	1	17993813	17997483	3671	1	ENSMUST00000185706.1	850	Gm17969	processed_pseudogene
ENSMUSG00000067773.6	chr1	18406725	18406791	67	*	chr1:18406724-18406791	0	+	Distal Intergenic	1	18250980	18265138	14159	2	ENSMUST00000088463.1	-141587	Defb41	protein_coding
ENSMUSG00000101306.1	chr1	18510819	18510872	54	*	chr1:18510818-18510872	0	+	Distal Intergenic	1	18708428	18709336	909	1	ENSMUST00000189030.1	-197556	Gm5252	processed_pseudogene
ENSMUSG00000101306.1	chr1	18830748	18830794	47	*	chr1:18830747-18830794	0	+	Distal Intergenic	1	18708428	18709336	909	1	ENSMUST00000189030.1	122320	Gm5252	processed_pseudogene
ENSMUSG00000088800.1	chr1	18937538	18937587	50	*	chr1:18937537-18937587	0	-	Distal Intergenic	1	18969762	18969833	72	2	ENSMUST00000158175.1	32246	Gm24075	snoRNA
ENSMUSG00000089787.2	chr1	19104892	19104915	24	*	chr1:19104891-19104915	0	-	Promoter (<=1kb)	1	19063300	19104840	41541	2	ENSMUST00000159108.2	-52	Gm15825	antisense
ENSMUSG00000104095.1	chr1	19855527	19855547	21	*	chr1:19855526-19855547	0	+	Distal Intergenic	1	20062070	20065548	3479	2	ENSMUST00000194347.1	210001	Gm37315	TEC
ENSMUSG00000104095.1	chr1	20061414	20061453	40	*	chr1:20061413-20061453	0	-	Intron (ENSMUST00000088448.11/ENSMUSG00000043760.16, intron 66 of 66)	1	20062070	20065548	3479	2	ENSMUST00000194347.1	4095	Gm37315	TEC
ENSMUSG00000089914.2	chr1	20253816	20253849	34	*	chr1:20253815-20253849	0	-	Intron (ENSMUST00000088448.11/ENSMUSG00000043760.16, intron 52 of 66)	1	20356452	20392300	35849	1	ENSMUST00000161509.2	-102603	4930486I03Rik	antisense
ENSMUSG00000043760.16	chr1	20538959	20539002	44	*	chr1:20538958-20539002	0	+	Intron (ENSMUST00000088448.11/ENSMUSG00000043760.16, intron 28 of 66)	1	20057779	20618064	560286	2	ENSMUST00000088448.11	79062	Pkhd1	protein_coding
ENSMUSG00000043760.16	chr1	20552487	20552513	27	*	chr1:20552486-20552513	0	-	Intron (ENSMUST00000088448.11/ENSMUSG00000043760.16, intron 23 of 66)	1	20057779	20618064	560286	2	ENSMUST00000088448.11	65551	Pkhd1	protein_coding
ENSMUSG00000100819.1	chr1	21167584	21167614	31	*	chr1:21167583-21167614	0	-	Distal Intergenic	1	21178988	21187427	8440	1	ENSMUST00000189119.1	-11374	Gm2693	unprocessed_pseudogene
ENSMUSG00000082935.3	chr1	21569431	21569460	30	*	chr1:21569430-21569460	0	+	Intron (ENSMUST00000029667.12/ENSMUSG00000028033.16, intron 2 of 13)	1	21511933	21513056	1124	2	ENSMUST00000119064.1	-56375	Gm7658	processed_pseudogene
ENSMUSG00000103748.1	chr1	21677701	21677717	17	*	chr1:21677700-21677717	0	-	Intron (ENSMUST00000029667.12/ENSMUSG00000028033.16, intron 1 of 13)	1	21838948	21840514	1567	2	ENSMUST00000194737.1	162797	Gm38243	TEC
ENSMUSG00000103748.1	chr1	21762379	21762412	34	*	chr1:21762378-21762412	0	-	Intron (ENSMUST00000029667.12/ENSMUSG00000028033.16, intron 1 of 13)	1	21838948	21840514	1567	2	ENSMUST00000194737.1	78102	Gm38243	TEC
ENSMUSG00000099692.1	chr1	22020249	22020269	21	*	chr1:22020248-22020269	0	+	Distal Intergenic	1	22030064	22030615	552	2	ENSMUST00000189850.1	10346	Gm5696	processed_pseudogene
ENSMUSG00000099692.1	chr1	22030815	22030836	22	*	chr1:22030814-22030836	0	-	Promoter (<=1kb)	1	22030064	22030615	552	2	ENSMUST00000189850.1	-200	Gm5696	processed_pseudogene
ENSMUSG00000099692.1	chr1	22084754	22084826	73	*	chr1:22084753-22084826	0	+	Distal Intergenic	1	22030064	22030615	552	2	ENSMUST00000189850.1	-54139	Gm5696	processed_pseudogene
ENSMUSG00000099692.1	chr1	22120729	22120768	40	*	chr1:22120728-22120768	0	+	Distal Intergenic	1	22030064	22030615	552	2	ENSMUST00000189850.1	-90114	Gm5696	processed_pseudogene
ENSMUSG00000100418.1	chr1	22149530	22149567	38	*	chr1:22149529-22149567	0	-	Distal Intergenic	1	22237849	22238295	447	1	ENSMUST00000190225.1	-88282	Gm28239	processed_pseudogene
ENSMUSG00000041670.17	chr1	22280911	22280964	54	*	chr1:22280910-22280964	0	+	Distal Intergenic	1	22286915	22315805	28891	2	ENSMUST00000164877.7	34841	Rims1	protein_coding
ENSMUSG00000041670.17	chr1	22280991	22281012	22	*	chr1:22280990-22281012	0	+	Distal Intergenic	1	22286915	22315805	28891	2	ENSMUST00000164877.7	34793	Rims1	protein_coding
ENSMUSG00000041670.17	chr1	22806071	22806115	45	*	chr1:22806070-22806115	0	+	Promoter (<=1kb)	1	22533955	22805994	272040	2	ENSMUST00000218140.1	-77	Rims1	protein_coding
ENSMUSG00000041670.17	chr1	22806159	22806189	31	*	chr1:22806158-22806189	0	+	Promoter (<=1kb)	1	22533955	22805994	272040	2	ENSMUST00000218140.1	-165	Rims1	protein_coding
ENSMUSG00000041670.17	chr1	22805427	22805460	34	*	chr1:22805426-22805460	0	-	Promoter (<=1kb)	1	22286251	22805724	519474	2	ENSMUST00000081544.12	264	Rims1	protein_coding
ENSMUSG00000097642.1	chr1	22562408	22562455	48	*	chr1:22562407-22562455	0	+	Intron (ENSMUST00000081544.12/ENSMUSG00000041670.17, intron 5 of 31)	1	22740764	22741565	802	1	ENSMUST00000180414.1	-178309	Gm26866	processed_pseudogene
ENSMUSG00000097642.1	chr1	22552023	22552066	44	*	chr1:22552022-22552066	0	-	Intron (ENSMUST00000081544.12/ENSMUSG00000041670.17, intron 5 of 31)	1	22740764	22741565	802	1	ENSMUST00000180414.1	-188698	Gm26866	processed_pseudogene
ENSMUSG00000097642.1	chr1	22560242	22560307	66	*	chr1:22560241-22560307	0	+	Intron (ENSMUST00000081544.12/ENSMUSG00000041670.17, intron 5 of 31)	1	22740764	22741565	802	1	ENSMUST00000180414.1	-180457	Gm26866	processed_pseudogene
ENSMUSG00000101468.1	chr1	22975561	22975584	24	*	chr1:22975560-22975584	0	-	Distal Intergenic	1	22984863	22987125	2263	2	ENSMUST00000190510.1	11541	Gm7761	processed_pseudogene
ENSMUSG00000101468.1	chr1	23010558	23010582	25	*	chr1:23010557-23010582	0	-	Distal Intergenic	1	22984863	22987125	2263	2	ENSMUST00000190510.1	-23433	Gm7761	processed_pseudogene
